text,font_size,font-family,font-weight,page-number,x-pos-l,x-pos-r,y-pos-l,page-width,page-height,class,file_name
ITEM DESCRIPTION DATA,8,Times-Roman,400,1,40.52,138.29,505.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
LENGTH,8,Times-Roman,400,1,40.52,72.51,492,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
23,8,Times-Roman,400,1,42.52,68.52,478.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
( IN ) WIDTH ( IN ) HEIGHT ( IN ) WEIGHT ( LB ),8,Times-Roman,400,1,83,498.55,492,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
OTHER DIMENSIONS,8,Times-Roman,400,1,40.52,118.51,465,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
"23 "" in dia ",8,Times-Roman,400,1,40.52,71.78,451.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
ITEM MATERIAL,8,Times-Roman,400,1,40.52,103.4,438,612,792,yes,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
23,8,Times-Roman,400,1,181.99,207.99,478.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
"Foam and fiberboard , will need to use drawing to manufactor item ",8,Times-Roman,400,1,40.52,253.15,424.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
ITEM FUNCTION,8,Times-Roman,400,1,40.52,102.51,411,612,792,yes,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
To ship Mk12A assets,8,Times-Roman,400,1,40.52,112.3,397.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
SAFTY CRITICAL SCREW,8,Times-Roman,400,1,40.52,134.3,384,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
THREADED COMPONENT,8,Times-Roman,400,1,40.52,135.4,375,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
20.0000 8.0000,8,Times-Roman,400,1,316.99,464.99,478.52,612,792,np,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
ESD CEMS SENSITIVE DATA,8,Times-Roman,400,1,211.52,496.66,379.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
STATEMENT OF HELIUM CONTENT (%) 0 PRECIOUS METAL INDICATOR CODE,8,Times-Roman,400,1,40.52,452.99,357,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
GFM REQUIRED GFE REQUIRED GFP REQUIRED,8,Times-Roman,400,1,40.52,471.11,334.52,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
JEWEL BEARING JEWEL BEARING RELATED,8,Times-Roman,400,1,40.52,416.32,312,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
LEGACY ITEM DESCRIPTION,8,Times-Roman,400,1,40.52,148.51,289.52,612,792,yes,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
Item Description Generated By PRPS Using Oracle Reports Version 2 Page 1 of 1,8,Times-Roman,400,1,40.52,539.52,60,612,792,no,f70f31b2f277f4c4904f072fadc749fa45733d8e.file.pdf.tetml
"406 SCMS / GULAA-Hill April 5 , 2014 ",14.04,Times New Roman,400,1,43.2,514.35,713.28,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Statement Of Work ( SOW ) for Packaging & Preservation,14.04,"Times New Roman,Bold",700,1,43.2,389.05,683.14,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"ASSIST Documents for Specifications Listed in the GSA Index of Federal Specifications , Standards ",12,"Times New Roman,Bold",700,1,43.2,551.43,655.18,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
and Commercial Item Descriptions,12,"Times New Roman,Bold",700,1,43.2,222.8,641.38,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"The contractor shall use the ASSIST website to access specification , standards , data item descriptions documents ",11.04,Times New Roman,400,1,43.2,541.06,628.66,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
listed in this contract solicitation :,11.04,Times New Roman,400,1,43.2,189.82,615.94,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
http :// assistdocs . com,11.04,Times New Roman,400,1,43.2,135.24,603.34,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"PRESERVATION , PACKAGING & MARKING REQUIREMENTS ",12,"Times New Roman,Bold",700,1,43.2,397.49,575.86,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"The contractor shall develop , implement and maintain the preservation , packaging and packing of all items to be ",11.04,Times New Roman,400,1,43.2,565.33,563.14,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
delivered under the terms of this contract . Packaging procedures will be established in accordance with AFMCI 24-,11.04,Times New Roman,400,1,43.2,565.5,550.42,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"201 , specifically Paragraph 3.7 and MIL-STD-2073-1 , Standard Practice for Military Packaging ( current revision ); ",11.04,Times New Roman,400,1,43.2,565.54,537.82,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Packaging requirements are identified in the AFMC Form 158 , Packaging Requirements submitted by the responsible ",11.04,Times New Roman,400,1,43.2,565.54,525.07,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"packaging specialist . All â€œ markings and labeling â€ù of shipments shall conform to MIL-STD 129 , DoD Standard ",11.04,Times New Roman,400,1,43.2,565.48,512.47,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Practice , Military Marking for Shipment and Storage ( current revision ) The contractor â€œ shall â€ù affix a completed DD ",11.04,Times New Roman,400,1,43.2,565.55,499.75,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Form 1574 , Serviceable Tag-Materiel or DD Form 1574-1 , Serviceable Label- Materiel to each unit pack or ",11.04,Times New Roman,400,1,43.2,565.45,487.15,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
intermediate container and prime outer container ( s ). The tag or label will indicate the condition ( s ) of the materiel and,11.04,Times New Roman,400,1,43.2,565.27,474.55,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"to identify the individual article or contents , bundle , container to which they are securely attached . ",11.04,Times New Roman,400,1,43.2,475.97,461.83,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
INTERNATIONAL STANDARDS FOR PHYTOSANITARY MEASURES ( ISPM NO . 15 ),12,"Times New Roman,Bold",700,1,43.2,508.55,432.07,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
REQUIREMENTS,11.04,"Times New Roman,Bold",700,1,43.2,141.86,418.27,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
The contractor shall use the wood packaging material regulation for international trade which describes phytosanitary,11.04,Times New Roman,400,1,43.2,565.2,405.55,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
( including treatments ) that have been approved for wood packaging material and provides for the approval of new or,11.04,Times New Roman,400,1,43.2,565.02,392.83,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"revised treatments . Use the latest revision of ( ISPM No . 15 ), and the following statement complies with the United ",11.04,Times New Roman,400,1,43.2,565.28,380.23,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Nations-implemented restrictions on wood packaging material ( WPM ). â€œ This requirement is specifically concerned,11.04,Times New Roman,400,1,43.2,565.22,367.51,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"with invasive species such as pinewood nematode . WPM is defined as wood pallets , skids , load boards , pallet collars , ",11.04,Times New Roman,400,1,43.2,565.43,354.89,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"wooden boxes , reels , dunnage , crates , frames , and cleats . The statement below cites the requirements in detail and ",11.04,Times New Roman,400,1,43.2,565.05,342.29,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
covers lumber for building containers and pallets used for deliveries resulting in worldwide shipments ( direct vendor,11.04,Times New Roman,400,1,43.2,565.41,329.57,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"deliveries , Air Logistics complex ( ALC ), Container Consolidation Points ( CCP ), Aerial Ports , Water Ports , or other ",11.04,Times New Roman,400,1,43.2,565.12,316.97,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
DoD installations .):,11.04,Times New Roman,400,1,43.2,129.99,304.25,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
ELECTROSTATIC MATERIAL ( When Applicable ),12,"Times New Roman,Bold",700,1,43.2,315.52,276.77,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
The Contractor shall apply provisions of MIL-STD-1686 ( current revision ) when identifying all solid state devices,11.04,Times New Roman,400,1,43.2,565.24,264.05,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"and modules containing diodes , translators , integrated circuits and / or other microelectronic components sensitive to ",11.04,Times New Roman,400,1,43.2,565.2,251.45,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
electrostatic forces . All such items shall be packaged IAW MIL _ STD 2073-1 using electrostatic free barrier materials,11.04,Times New Roman,400,1,43.2,565.47,238.73,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"and shall clearly bear â€œ Electrostatic Sensitive Device â€ù labels IAW MIL-STD 129 , Department of Defense Standard ",11.04,Times New Roman,400,1,43.2,565.52,226.13,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Practice Military Marking for Shipment and Storage .,11.04,"Times New Roman,Italic",400,1,43.2,278.33,213.41,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"SOW for Packaging & Preservation ( Cont .) April 5 , 2014 ",14.04,"Times New Roman,Bold",700,2,31.2,502.29,725.28,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
HAZARDOUS MATERIALS ( When Applicable ),12,"Times New Roman,Bold",700,2,31.2,283.52,694.78,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"The contractor shall ensure Hazardous shipments comply with International Civil Aviation Organization ( ICAO ), U . S . ",11.04,Times New Roman,400,2,31.2,553.14,682.06,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Code of Federal Regulations ( CFR ) Title 49 , International Air Transport Association ( IATA ) Dangerous Goods ",11.04,Times New Roman,400,2,31.2,553.35,669.34,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
